,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
2238,SI,Slovenia,Poverty headcount ratio at national poverty lines (% of population),2017,13.3,Europe & Central Asia,High income,Not classified,14.5044,46.0546
2239,SI,Slovenia,Poverty headcount ratio at national poverty lines (% of population),2016,13.3,Europe & Central Asia,High income,Not classified,14.5044,46.0546
2240,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2025,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2241,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2024,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2242,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2023,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2243,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2022,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2244,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2021,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2245,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2020,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2246,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2019,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2247,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2018,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2248,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2017,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2249,SB,Solomon Islands,Poverty headcount ratio at national poverty lines (% of population),2016,,East Asia & Pacific,Lower middle income,IDA,159.949,-9.42676
2250,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2025,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2251,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2024,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2252,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2023,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2253,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2022,55.4,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2254,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2021,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2255,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2020,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2256,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2019,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2257,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2018,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2258,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2017,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2259,SO,"Somalia, Fed. Rep.",Poverty headcount ratio at national poverty lines (% of population),2016,,Sub-Saharan Africa ,Low income,IDA,45.3254,2.07515
2260,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2025,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2261,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2024,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
2262,ZA,South Africa,Poverty headcount ratio at national poverty lines (% of population),2023,,Sub-Saharan Africa ,Upper middle income,IBRD,28.1871,-25.746
