,country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
18,ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
19,ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
20,1A,Arab World,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
21,1A,Arab World,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
22,1A,Arab World,Exports of goods and services (current US$),2023,1695255372658.71,Aggregates,Aggregates,Aggregates,,
23,1A,Arab World,Exports of goods and services (current US$),2022,1792850543608.38,Aggregates,Aggregates,Aggregates,,
24,1A,Arab World,Exports of goods and services (current US$),2021,1280418222799.26,Aggregates,Aggregates,Aggregates,,
25,1A,Arab World,Exports of goods and services (current US$),2020,931628564702.073,Aggregates,Aggregates,Aggregates,,
26,1A,Arab World,Exports of goods and services (current US$),2019,1250081044909.76,Aggregates,Aggregates,Aggregates,,
27,1A,Arab World,Exports of goods and services (current US$),2018,1297103254480.05,Aggregates,Aggregates,Aggregates,,
28,1A,Arab World,Exports of goods and services (current US$),2017,1091141483975.71,Aggregates,Aggregates,Aggregates,,
29,1A,Arab World,Exports of goods and services (current US$),2016,953670218808.409,Aggregates,Aggregates,Aggregates,,
30,S3,Caribbean small states,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
31,S3,Caribbean small states,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
32,S3,Caribbean small states,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
33,S3,Caribbean small states,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
34,S3,Caribbean small states,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
35,S3,Caribbean small states,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
36,S3,Caribbean small states,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
37,S3,Caribbean small states,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
38,S3,Caribbean small states,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
39,S3,Caribbean small states,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
40,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
41,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2024,1436116582981.12,Aggregates,Aggregates,Aggregates,,
42,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2023,1425871028490.58,Aggregates,Aggregates,Aggregates,,
43,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2022,1341116044762.76,Aggregates,Aggregates,Aggregates,,
44,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2021,1215863520904.17,Aggregates,Aggregates,Aggregates,,
45,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2020,984787146963.038,Aggregates,Aggregates,Aggregates,,
46,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2019,1040652380558.75,Aggregates,Aggregates,Aggregates,,
47,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2018,1042006159053.72,Aggregates,Aggregates,Aggregates,,
48,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2017,929209660507.615,Aggregates,Aggregates,Aggregates,,
49,B8,Central Europe and the Baltics,Exports of goods and services (current US$),2016,822183254496.804,Aggregates,Aggregates,Aggregates,,
50,V2,Early-demographic dividend,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
